"152,4.6367088607594935,489.5,1265"
"150,5.635384615384615,1533.0,1265"
"45,5.232857142857143,169.0,1265"
"154,7.3260000000000005,1619.0,1264"
"153,1.4364705882352942,100.5,1264"
"152,4.696153846153846,492.5,1264"
"150,5.635384615384615,1533.0,1264"
"45,5.0875,168.0,1264"
"154,7.3260000000000005,1619.0,1263"
"153,1.4252918287937744,100.5,1263"
"152,4.696153846153846,493.0,1263"
"150,5.635384615384615,1533.0,1263"
"45,5.0875,167.0,1263"
"154,7.0442307692307695,1619.5,1262"
"153,1.403448275862069,102.0,1262"
"152,4.6367088607594935,494.0,1262"
"150,5.7234375,1532.5,1262"
"45,5.0875,166.0,1262"
"154,7.0442307692307695,1618.0,1261"
"153,1.403448275862069,101.5,1261"
"152,4.6367088607594935,494.5,1261"
"150,5.635384615384615,1533.0,1261"
"45,5.017808219178082,165.5,1261"
"154,6.911320754716981,1615.0,1260"
"153,1.403448275862069,100.0,1260"
"152,4.757142857142857,496.5,1260"
"150,5.635384615384615,1533.0,1260"
"45,4.95,166.0,1260"
"154,7.182352941176471,1614.5,1259"
"153,1.3980916030534352,97.5,1259"
"152,4.757142857142857,497.5,1259"
"150,5.55,1533.0,1259"
"45,4.884,165.0,1259"
"153,1.3770676691729324,89.5,1258"
"152,4.95,499.5,1258"
"150,5.467164179104477,1532.5,1258"
"45,4.757142857142857,162.5,1258"
"153,1.3822641509433962,86.0,1257"
"152,4.95,500.0,1257"
"150,5.467164179104477,1532.5,1257"
"82,4.2593023255813955,964.0,1257"
"45,4.757142857142857,161.0,1257"
"153,1.403448275862069,77.5,1256"
"152,4.95,503.0,1256"
"150,5.467164179104477,1533.0,1256"
"82,4.2593023255813955,964.0,1256"
"45,4.6367088607594935,156.5,1256"
"153,1.4088461538461539,77.0,1255"
"152,4.95,502.5,1255"
"150,5.467164179104477,1532.5,1255"
"82,4.210344827586207,964.5,1255"
"45,4.696153846153846,156.0,1255"
"153,1.403448275862069,76.0,1254"
"152,5.017808219178082,503.0,1254"
"150,5.55,1533.0,1254"
"82,4.210344827586207,964.0,1254"
"45,4.696153846153846,157.0,1254"
"153,1.3875,72.5,1253"
"152,5.017808219178082,503.0,1253"
"150,5.55,1533.0,1253"
"82,4.210344827586207,964.0,1253"
"45,4.696153846153846,158.5,1253"
"153,1.3566666666666667,63.5,1252"
"152,4.95,504.5,1252"
"150,5.55,1532.5,1252"
"82,4.1625000000000005,963.5,1252"
"45,4.8197368421052635,161.5,1252"
"153,1.3719101123595505,59.5,1251"
"152,4.95,504.5,1251"
"150,5.55,1532.5,1251"
"82,4.1625000000000005,963.5,1251"
"45,4.8197368421052635,162.0,1251"
"153,1.3980916030534352,50.0,1250"
"150,5.55,1533.0,1250"
"82,4.115730337078652,963.5,1250"
"45,4.757142857142857,163.5,1250"
"153,1.3927756653992396,47.0,1249"
"150,5.55,1533.0,1249"
"134,1.4652,1879.0,1249"
"82,4.115730337078652,963.5,1249"
"45,4.757142857142857,162.0,1249"
"153,1.3822641509433962,39.0,1248"
"150,5.55,1532.5,1248"
"134,1.4364705882352942,1875.5,1248"
"45,4.57875,159.0,1248"
